node,file
NODE_301_length_13490_cov_5.603498,SRR359001
NODE_612_length_5308_cov_2.758995,SRR359000
NODE_838_length_3709_cov_24.772852,SRR359000
NODE_201_length_16791_cov_301.378047,SRR359000
NODE_7_length_97073_cov_265.810272,SRR359000
NODE_1791_length_1553_cov_10.063418,SRR359000
NODE_1_length_184423_cov_291.947306,SRR359000
NODE_572_length_5711_cov_38.782001,SRR359000
NODE_703_length_4586_cov_2.210550,SRR359000
NODE_721_length_4479_cov_2.163201,SRR359000
NODE_529_length_6080_cov_9.988880,SRR359000
NODE_26_length_61249_cov_332.046998,SRR359000
NODE_4265_length_3690_cov_4.049519,SRR5352536
NODE_4045_length_3792_cov_3.356168,SRR5352536
NODE_9544_length_2419_cov_3.145093,SRR5352536
NODE_18348_length_1714_cov_1.781193,SRR5352536
NODE_27104_length_1391_cov_2.020958,SRR5352536
NODE_6712_length_2902_cov_2.084651,SRR5352536
NODE_17718_length_1743_cov_3.190166,SRR5352536
NODE_12808_length_2072_cov_2.792266,SRR5352536
NODE_7116_length_2812_cov_5.036271,SRR5352536
NODE_1826_length_5974_cov_3.057611,SRR5352536
NODE_13497_length_2013_cov_1.969867,SRR5352536
NODE_47896_length_1009_cov_3.315514,SRR5352536
NODE_38718_length_1139_cov_2.164207,SRR5352536
NODE_28777_length_1345_cov_2.017054,SRR5352536
NODE_11410_length_2202_cov_1.834187,SRR5352536
NODE_26209_length_1415_cov_4.390441,SRR5352536
NODE_6358_length_2985_cov_2.532423,SRR5352536
NODE_717_length_10848_cov_49.576670,SRR5352536
NODE_34662_length_1211_cov_3.885813,SRR5352536
NODE_21542_length_1574_cov_2.554970,SRR5352536
NODE_10905_length_2254_cov_3.553888,SRR5352536
NODE_35759_length_1191_cov_1.887324,SRR5352536
NODE_20314_length_1625_cov_2.020382,SRR5352536
NODE_45717_length_1036_cov_4.755352,SRR5352536
NODE_14086_length_1967_cov_2.648536,SRR5352536
NODE_340_length_17357_cov_22.622934,SRR5352536
NODE_45306_length_1042_cov_2.034448,SRR5352536
NODE_45827_length_1035_cov_1.848980,SRR5352536
NODE_46533_length_1026_cov_2.095778,SRR5352536
NODE_3653_length_4014_cov_2.605203,SRR5352536
NODE_722_length_10801_cov_50.894007,SRR5352536
NODE_314_length_18219_cov_48.433330,SRR5352536
NODE_44931_length_1047_cov_2.205645,SRR5352536
NODE_58_length_52920_cov_6.107103,SRR5352536
NODE_262_length_20456_cov_26.917945,SRR5352536
NODE_2811_length_4582_cov_5.358957,SRR5352536
NODE_191_length_26177_cov_26.336689,SRR5352536
NODE_778_length_10241_cov_6.354703,SRR5352536
NODE_19225_length_1673_cov_2.195921,SRR5352536
NODE_24195_length_1479_cov_1.591292,SRR5352536
NODE_29116_length_1336_cov_2.217018,SRR5352536
NODE_31598_length_1278_cov_1.273917,SRR5352536
NODE_34778_length_1209_cov_2.362218,SRR5352536
NODE_37323_length_1163_cov_2.159747,SRR5352536
NODE_9913_length_2370_cov_5.980994,SRR5352536
NODE_9649_length_2404_cov_40.121754,SRR5352536
NODE_3295_length_4219_cov_2.421470,SRR5352536
NODE_5_length_194589_cov_9.506611,SRR5352536
NODE_3203_length_4280_cov_2.634320,SRR5352536
NODE_29_length_85936_cov_9.559332,SRR5352536
NODE_3419_length_4144_cov_4.116165,SRR5352536
NODE_6335_length_2991_cov_3.014305,SRR5352536
NODE_12757_length_2076_cov_8.551212,SRR5352536
NODE_27669_length_1376_cov_1.900833,SRR5352536
NODE_39506_length_1127_cov_1.634328,SRR5352536
NODE_41_length_67370_cov_9.336805,SRR5352536
NODE_690_length_11124_cov_5.435270,SRR5352536
NODE_1355_length_7085_cov_2.963016,SRR5352536
NODE_149_length_29594_cov_5.144555,SRR5352536
NODE_24070_length_1483_cov_1.573529,SRR5352536
NODE_198_length_25415_cov_4.630875,SRR5352536
NODE_1357_length_7082_cov_2.646649,SRR5352536
NODE_539_length_13052_cov_5.292298,SRR5352536
NODE_1388_length_6972_cov_4.450484,SRR5352536
NODE_39684_length_1124_cov_2.246960,SRR5352536
NODE_9169_length_2466_cov_3.751141,SRR5352536
NODE_28_length_91831_cov_9.845068,SRR5352536
NODE_42008_length_1089_cov_1.249516,SRR5352536
NODE_21164_length_1589_cov_2.547588,SRR5352536
NODE_7005_length_2834_cov_2.482548,SRR5352536
NODE_45153_length_1044_cov_2.096057,SRR5352536
NODE_366_length_16717_cov_4.897191,SRR5352536
NODE_1084_length_8115_cov_7.116998,SRR5352536
NODE_2348_length_5104_cov_4.585264,SRR5352536
NODE_31719_length_1274_cov_3.420837,SRR5352536
NODE_8080_length_2636_cov_2.491282,SRR5352536
NODE_4643_length_3516_cov_3.468073,SRR5352536
NODE_62_length_51840_cov_8.213711,SRR5352536
NODE_25235_length_1445_cov_1.861151,SRR5352536
NODE_6866_length_2863_cov_2.770655,SRR5352536
NODE_9519_length_2422_cov_2.872835,SRR5352536
NODE_1490_length_6721_cov_3.409091,SRR5352536
NODE_22608_length_1533_cov_3.338972,SRR5352536
NODE_552_length_12877_cov_4.633287,SRR5352536
NODE_2425_length_5023_cov_3.777375,SRR5352536
NODE_3618_length_4033_cov_2.417044,SRR5352536
NODE_7465_length_2746_cov_2.896321,SRR5352536
NODE_4441_length_3606_cov_2.285835,SRR5352536
NODE_10657_length_2282_cov_2.073193,SRR5352536
NODE_20351_length_1623_cov_3.030612,SRR5352536
NODE_158_length_28623_cov_62.772473,SRR5352536
NODE_11434_length_2200_cov_1.743590,SRR5352536
NODE_26878_length_1397_cov_3.020864,SRR5352536
NODE_40463_length_1112_cov_2.804163,SRR5352536
NODE_34387_length_1217_cov_2.255594,SRR5352536
NODE_426_length_15109_cov_4.856251,SRR5352536
NODE_37387_length_1162_cov_2.143631,SRR5352536
NODE_16259_length_1825_cov_2.256497,SRR5352536
NODE_30645_length_1300_cov_1.751807,SRR5352536
NODE_2060_length_5534_cov_3.121920,SRR5352536
NODE_43143_length_1072_cov_2.224189,SRR5352536
NODE_4452_length_3600_cov_2.980254,SRR5352536
NODE_28946_length_1340_cov_2.795331,SRR5352536
NODE_10716_length_2274_cov_2.332132,SRR5352536
NODE_25113_length_1448_cov_3.358938,SRR5352536
NODE_35517_length_1195_cov_2.121930,SRR5352536
NODE_28544_length_1351_cov_2.351852,SRR5352536
NODE_27098_length_1391_cov_2.240269,SRR5352536
NODE_2_length_213457_cov_9.044245,SRR5352536
NODE_2948_length_4471_cov_2.879076,SRR5352536
NODE_43408_length_1068_cov_2.702863,SRR5352536
NODE_17962_length_1733_cov_2.016687,SRR5352536
NODE_1590_length_6476_cov_3.025074,SRR5352536
NODE_3559_length_4068_cov_3.076003,SRR5352536
NODE_32500_length_1257_cov_3.304493,SRR5352536
NODE_29275_length_1332_cov_1.995301,SRR5352536
NODE_40734_length_1108_cov_2.246914,SRR5352536
NODE_214_length_23529_cov_22.376033,SRR5352536
NODE_23_length_99813_cov_9.245544,SRR5352536
NODE_6022_length_3072_cov_2.386808,SRR5352536
NODE_7315_length_2773_cov_2.584253,SRR5352536
NODE_55_length_54711_cov_7.675589,SRR5352536
NODE_343_length_17301_cov_4.711295,SRR5352536
NODE_23926_length_1488_cov_1.888346,SRR5352536
NODE_35053_length_1204_cov_2.462141,SRR5352536
NODE_638_length_11647_cov_36.470928,SRR5352536
NODE_7494_length_2740_cov_2.410056,SRR5352536
NODE_160_length_28594_cov_49.908721,SRR5352536
NODE_6728_length_2897_cov_2.674525,SRR5352536
NODE_25125_length_1448_cov_2.163676,SRR5352536
NODE_301_length_18623_cov_44.818182,SRR5352536
NODE_8011_length_2647_cov_4.111883,SRR5352536
NODE_9613_length_2410_cov_1.335456,SRR5352536
NODE_22112_length_1552_cov_1.641283,SRR5352536
NODE_41515_length_1096_cov_1.885687,SRR5352536
NODE_1749_length_6122_cov_23.398879,SRR5352536
NODE_2182_length_5349_cov_3.089158,SRR5352536
NODE_14488_length_1937_cov_2.213071,SRR5352536
NODE_7028_length_2829_cov_2.820836,SRR5352536
NODE_2872_length_4521_cov_6.723690,SRR5352536
NODE_6838_length_2869_cov_3.037313,SRR5352536
NODE_43_length_65232_cov_29.544226,SRR5352536
NODE_570_length_12551_cov_4.544334,SRR5352536
NODE_12607_length_2088_cov_5.620266,SRR5352536
NODE_20629_length_1613_cov_2.164313,SRR5352536
NODE_42034_length_1088_cov_2.174250,SRR5352536
NODE_42815_length_1077_cov_1.863992,SRR5352536
NODE_108_length_35939_cov_8.783998,SRR5352536
NODE_3913_length_3855_cov_3.618158,SRR5352536
NODE_210_length_16791_cov_206.852235,SRR359023
NODE_532_length_3760_cov_23.845884,SRR359023
NODE_400_length_5764_cov_46.876861,SRR359023
NODE_34_length_60891_cov_255.563877,SRR359023
NODE_3_length_184423_cov_198.014227,SRR359023
NODE_54_length_43677_cov_129.678373,SRR359023
NODE_935_length_2949_cov_306.849343,SRR359002
NODE_255_length_16791_cov_78.231597,SRR359002
NODE_791_length_3760_cov_208.689609,SRR359002
NODE_1_length_184420_cov_76.673799,SRR359002
NODE_348_length_12023_cov_4.059743,SRR359002
NODE_1378_length_1584_cov_23.874428,SRR359002
NODE_24_length_77972_cov_58.642081,SRR359002
NODE_42_length_56655_cov_82.403286,SRR359002
NODE_366_length_11442_cov_5.893036,SRR359002
NODE_156_length_25398_cov_5.143314,SRR359002
NODE_86_length_39829_cov_6.392493,SRR359002
NODE_559_length_6312_cov_4.952214,SRR359002
NODE_3457_length_7029_cov_2.835102,SRR5352532
NODE_4881_length_5500_cov_2.793021,SRR5352532
NODE_1577_length_12559_cov_2.539987,SRR5352532
NODE_7_length_258084_cov_56.309558,SRR5352532
NODE_6745_length_4318_cov_2.333802,SRR5352532
NODE_681_length_22504_cov_4.125618,SRR5352532
NODE_405_length_31814_cov_7.063636,SRR5352532
NODE_26843_length_1297_cov_1.109501,SRR5352532
NODE_1834_length_11243_cov_2.712192,SRR5352532
NODE_2214_length_9894_cov_2.401768,SRR5352532
NODE_5627_length_4942_cov_2.845508,SRR5352532
NODE_34443_length_1044_cov_1.983822,SRR5352532
NODE_16980_length_1962_cov_1.917672,SRR5352532
NODE_4085_length_6264_cov_2.948140,SRR5352532
NODE_764_length_20817_cov_5.077160,SRR5352532
NODE_10786_length_2931_cov_5.996175,SRR5352532
NODE_26_length_129673_cov_6.214245,SRR5352532
NODE_9291_length_3309_cov_2.452674,SRR5352532
NODE_34248_length_1049_cov_1.512072,SRR5352532
NODE_1212_length_14984_cov_5.270212,SRR5352532
NODE_13922_length_2349_cov_2.255449,SRR5352532
NODE_368_length_33307_cov_4.684410,SRR5352532
NODE_4964_length_5434_cov_2.757018,SRR5352532
NODE_282_length_38331_cov_4.870624,SRR5352532
NODE_184_length_47674_cov_5.568975,SRR5352532
NODE_14629_length_2249_cov_2.699635,SRR5352532
NODE_93_length_67904_cov_6.338207,SRR5352532
NODE_11406_length_2802_cov_2.425191,SRR5352532
NODE_9687_length_3195_cov_2.944904,SRR5352532
NODE_109_length_64025_cov_54.837455,SRR5352532
NODE_14414_length_2278_cov_1.770130,SRR5352532
NODE_626_length_23803_cov_4.021728,SRR5352532
NODE_21176_length_1605_cov_1.398710,SRR5352532
NODE_4567_length_5786_cov_3.269761,SRR5352532
NODE_1584_length_12527_cov_5.090042,SRR5352532
NODE_3021_length_7775_cov_3.770337,SRR5352532
NODE_7122_length_4133_cov_2.842079,SRR5352532
NODE_993_length_17282_cov_4.014338,SRR5352532
NODE_12865_length_2524_cov_3.124747,SRR5352532
NODE_4298_length_6033_cov_2.623620,SRR5352532
NODE_1085_length_16289_cov_4.950105,SRR5352532
NODE_2002_length_10544_cov_3.380303,SRR5352532
NODE_351_length_34441_cov_5.742570,SRR5352532
NODE_305_length_37006_cov_4.653379,SRR5352532
NODE_6919_length_4229_cov_2.510781,SRR5352532
NODE_3392_length_7121_cov_2.572177,SRR5352532
NODE_669_length_22656_cov_5.462103,SRR5352532
NODE_13337_length_2439_cov_2.693792,SRR5352532
NODE_22080_length_1546_cov_1.624413,SRR5352532
NODE_29428_length_1197_cov_2.937828,SRR5352532
NODE_30918_length_1145_cov_2.455963,SRR5352532
NODE_17931_length_1865_cov_1.771271,SRR5352532
NODE_359_length_33669_cov_4.333581,SRR5352532
NODE_1449_length_13314_cov_3.130704,SRR5352532
NODE_9_length_247348_cov_55.823537,SRR5352532
NODE_30335_length_1165_cov_1.212613,SRR5352532
NODE_112_length_63534_cov_9.691882,SRR5352532
NODE_3125_length_7588_cov_5.258197,SRR5352532
NODE_8002_length_3754_cov_4.921600,SRR5352532
NODE_70_length_77613_cov_5.530480,SRR5352532
NODE_36124_length_1004_cov_1.454162,SRR5352532
NODE_12664_length_2559_cov_3.133387,SRR5352532
NODE_848_length_19420_cov_3.642964,SRR5352532
NODE_17727_length_1887_cov_2.034389,SRR5352532
NODE_17782_length_1882_cov_3.028462,SRR5352532
NODE_18634_length_1803_cov_2.246568,SRR5352532
NODE_8481_length_3576_cov_2.457256,SRR5352532
NODE_4439_length_5909_cov_6.271268,SRR5352532
NODE_2576_length_8822_cov_3.859017,SRR5352532
NODE_2943_length_7955_cov_5.612025,SRR5352532
NODE_17811_length_1879_cov_1.803728,SRR5352532
NODE_17871_length_1871_cov_2.772026,SRR5352532
NODE_2025_length_10480_cov_2.638273,SRR5352532
NODE_1669_length_12041_cov_2.850743,SRR5352532
NODE_30929_length_1145_cov_1.593578,SRR5352532
NODE_1453_length_13284_cov_3.665130,SRR5352532
NODE_2888_length_8077_cov_2.500374,SRR5352532
NODE_18436_length_1820_cov_2.355807,SRR5352532
NODE_2209_length_9908_cov_3.836902,SRR5352532
NODE_906_length_18467_cov_4.428525,SRR5352532
NODE_7308_length_4043_cov_2.475426,SRR5352532
NODE_8241_length_3666_cov_1.868734,SRR5352532
NODE_32647_length_1093_cov_1.750482,SRR5352532
NODE_10688_length_2952_cov_1.676562,SRR5352532
NODE_28325_length_1238_cov_1.111581,SRR5352532
NODE_2416_length_9224_cov_5.138510,SRR5352532
NODE_25171_length_1371_cov_1.844985,SRR5352532
NODE_11532_length_2777_cov_2.372153,SRR5352532
NODE_2439_length_9139_cov_3.163584,SRR5352532
NODE_1589_length_12508_cov_3.993014,SRR5352532
NODE_41_length_104304_cov_6.492408,SRR5352532
NODE_1753_length_11620_cov_6.148984,SRR5352532
NODE_11882_length_2708_cov_1.938560,SRR5352532
NODE_33266_length_1075_cov_2.235294,SRR5352532
NODE_24226_length_1422_cov_2.981712,SRR5352532
NODE_3829_length_6564_cov_2.315409,SRR5352532
NODE_594_length_24980_cov_4.152859,SRR5352532
NODE_1482_length_13089_cov_3.233006,SRR5352532
NODE_14591_length_2254_cov_1.703502,SRR5352532
NODE_835_length_19714_cov_3.636757,SRR5352532
NODE_756_length_20939_cov_4.555210,SRR5352532
NODE_1413_length_13576_cov_5.397308,SRR5352532
NODE_22146_length_1541_cov_2.608345,SRR5352532
NODE_2771_length_8293_cov_6.279680,SRR5352532
NODE_4630_length_5730_cov_8.716652,SRR5352532
NODE_17940_length_1864_cov_3.184080,SRR5352532
NODE_10594_length_2971_cov_2.861454,SRR5352532
NODE_9421_length_3273_cov_2.360472,SRR5352532
NODE_85_length_72421_cov_4.836871,SRR5352532
NODE_15367_length_2148_cov_2.344482,SRR5352532
NODE_33482_length_1070_cov_1.264039,SRR5352532
NODE_3815_length_6577_cov_3.610089,SRR5352532
NODE_6296_length_4563_cov_2.320763,SRR5352532
NODE_1752_length_11626_cov_2.457869,SRR5352532
NODE_29067_length_1211_cov_1.301038,SRR5352532
NODE_22697_length_1506_cov_2.470021,SRR5352532
NODE_90_length_69015_cov_53.239356,SRR5352532
NODE_73_length_75687_cov_4.241141,SRR5352532
NODE_471_length_29346_cov_3.997132,SRR5352532
NODE_21392_length_1591_cov_2.593099,SRR5352532
NODE_13356_length_2435_cov_2.592017,SRR5352532
NODE_3071_length_7678_cov_2.454808,SRR5352532
NODE_9310_length_3302_cov_1.976594,SRR5352532
NODE_18312_length_1832_cov_2.365785,SRR5352532
NODE_551_length_26105_cov_3.803186,SRR5352532
NODE_169_length_50102_cov_6.239655,SRR5352532
NODE_144_length_53148_cov_3.665191,SRR5352532
NODE_15104_length_2181_cov_5.554092,SRR5352532
NODE_191_length_46759_cov_4.323720,SRR5352532
NODE_10729_length_2944_cov_2.974386,SRR5352532
NODE_1096_length_16139_cov_3.172221,SRR5352532
NODE_5919_length_4765_cov_3.797452,SRR5352532
NODE_7304_length_4044_cov_4.243921,SRR5352532
NODE_20592_length_1645_cov_2.125786,SRR5352532
NODE_1029_length_16892_cov_3.136010,SRR5352532
NODE_8298_length_3643_cov_2.742475,SRR5352532
NODE_223_length_43476_cov_4.131964,SRR5352532
NODE_24667_length_1397_cov_2.710134,SRR5352532
NODE_7356_length_4021_cov_2.227433,SRR5352532
NODE_11727_length_2738_cov_2.866940,SRR5352532
NODE_17324_length_1928_cov_2.227977,SRR5352532
NODE_5376_length_5115_cov_3.861660,SRR5352532
NODE_35766_length_1012_cov_1.717868,SRR5352532
NODE_23001_length_1488_cov_1.909979,SRR5352532
NODE_274_length_38921_cov_4.077137,SRR5352532
NODE_6565_length_4421_cov_2.290426,SRR5352532
NODE_1518_length_12910_cov_2.776196,SRR5352532
NODE_2434_length_9170_cov_5.829073,SRR5352532
NODE_504_length_27809_cov_10.493226,SRR5352532
NODE_13_length_171781_cov_7.789211,SRR5352532
NODE_2213_length_9900_cov_8.445810,SRR5352532
NODE_189_length_46880_cov_7.330593,SRR5352532
NODE_1793_length_11392_cov_3.479492,SRR5352532
NODE_3264_length_7323_cov_3.328013,SRR5352532
NODE_11_length_193855_cov_60.807570,SRR5352532
NODE_1808_length_11342_cov_4.894037,SRR5352532
NODE_13995_length_2338_cov_2.543145,SRR5352532
NODE_8486_length_3571_cov_3.400739,SRR5352532
NODE_8970_length_3407_cov_2.896480,SRR5352532
NODE_182_length_47723_cov_7.963896,SRR5352532
NODE_10670_length_2956_cov_3.259910,SRR5352532
NODE_231_length_42524_cov_10.440769,SRR5352532
NODE_5398_length_5101_cov_6.738208,SRR5352532
NODE_33982_length_1055_cov_2.094000,SRR5352532
NODE_2524_length_8943_cov_9.403240,SRR5352532
NODE_21129_length_1607_cov_6.728737,SRR5352532
NODE_335_length_35471_cov_4.226903,SRR5352532
NODE_7123_length_4133_cov_2.597106,SRR5352532
NODE_14_length_170189_cov_4.629269,SRR5352532
NODE_1842_length_11213_cov_3.612834,SRR5352532
NODE_1369_length_13894_cov_8.746080,SRR5352532
NODE_15885_length_2085_cov_4.832512,SRR5352532
NODE_10095_length_3086_cov_3.142857,SRR5352532
NODE_25860_length_1339_cov_1.435358,SRR5352532
NODE_44_length_103287_cov_59.827428,SRR5352532
NODE_688_length_22396_cov_9.157603,SRR5352532
NODE_3405_length_7103_cov_3.321368,SRR5352532
NODE_17567_length_1901_cov_2.111593,SRR5352532
NODE_26029_length_1332_cov_1.769773,SRR5352532
NODE_8579_length_3538_cov_2.398794,SRR5352532
NODE_16577_length_2007_cov_9.317623,SRR5352532
NODE_2676_length_8517_cov_2.948357,SRR5352532
NODE_11859_length_2712_cov_2.331201,SRR5352532
NODE_1_length_409173_cov_61.707828,SRR5352532
NODE_40_length_105255_cov_6.787880,SRR5352532
NODE_7642_length_3889_cov_5.463485,SRR5352532
NODE_3622_length_6803_cov_8.478957,SRR5352532
NODE_15100_length_2183_cov_2.064850,SRR5352532
NODE_12474_length_2595_cov_2.315354,SRR5352532
NODE_16873_length_1975_cov_1.709375,SRR5352532
NODE_1011_length_17077_cov_5.042357,SRR5352532
NODE_77_length_74346_cov_5.583153,SRR5352532
NODE_219_length_44384_cov_4.285434,SRR5352532
NODE_884_length_9314_cov_2.097311,SRR359030
NODE_115_length_37918_cov_39.986293,SRR359030
NODE_776_length_10422_cov_28.240571,SRR359030
NODE_531_length_14260_cov_118.988596,SRR359030
NODE_2079_length_3709_cov_27.139573,SRR359030
NODE_359_length_18915_cov_185.428261,SRR359030
NODE_245_length_24386_cov_21.782746,SRR359030
NODE_5238_length_1161_cov_27.006329,SRR359030
NODE_4590_length_1372_cov_1.652240,SRR359030
NODE_216_length_27332_cov_98.150310,SRR359030
NODE_272_length_23003_cov_157.032726,SRR359030
NODE_1436_length_5712_cov_340.594485,SRR359030
NODE_1883_length_4198_cov_9.134926,SRR359030
NODE_2_length_176434_cov_30.678459,SRR359030
NODE_376_length_18304_cov_33.949751,SRR359030
NODE_455_length_15938_cov_3.282377,SRR359030
NODE_522_length_14431_cov_121.020033,SRR359030
NODE_267_length_23150_cov_131.059710,SRR359030
NODE_71_length_48149_cov_3.419990,SRR359030
NODE_424_length_16725_cov_22.098800,SRR359030
NODE_181_length_30085_cov_22.294739,SRR359030
NODE_540_length_14073_cov_15.991440,SRR359030
NODE_393_length_5714_cov_38.755611,SRR359024
NODE_1504_length_1643_cov_2.828715,SRR359024
NODE_7_length_82260_cov_230.417213,SRR359024
NODE_2526_length_1066_cov_2.591494,SRR359024
NODE_58_length_32891_cov_250.730661,SRR359024
NODE_601_length_3760_cov_7.627800,SRR359024
NODE_440_length_5253_cov_5.489611,SRR359024
NODE_5_length_88703_cov_330.865840,SRR359024
NODE_2098_length_1247_cov_23.702181,SRR359024
NODE_130_length_103947_cov_33.947166,SRR5352534
NODE_274_length_41520_cov_60.192427,SRR5352534
NODE_8243_length_1794_cov_1.821737,SRR5352534
NODE_7_length_626991_cov_15.079375,SRR5352534
NODE_1567_length_7502_cov_4.257016,SRR5352534
NODE_27_length_364206_cov_14.653226,SRR5352534
NODE_70_length_174712_cov_34.274704,SRR5352534
NODE_1140_length_9849_cov_4.032367,SRR5352534
NODE_35_length_292211_cov_14.504600,SRR5352534
NODE_180_length_66076_cov_35.202118,SRR5352534
NODE_2029_length_6002_cov_3.884480,SRR5352534
NODE_7869_length_1859_cov_1.775499,SRR5352534
NODE_25_length_387256_cov_15.406267,SRR5352534
NODE_61_length_200285_cov_13.717725,SRR5352534
NODE_6191_length_2266_cov_5.278155,SRR5352534
NODE_69_length_180318_cov_31.097036,SRR5352534
NODE_695_length_15201_cov_3.543444,SRR5352534
NODE_3104_length_4167_cov_2.580739,SRR5352534
NODE_1304_length_8741_cov_4.177412,SRR5352534
NODE_194_length_61226_cov_14.801834,SRR5352534
NODE_2467_length_5102_cov_6.234397,SRR5352534
NODE_14028_length_1222_cov_1.903171,SRR5352534
NODE_96_length_134690_cov_13.840747,SRR5352534
NODE_249_length_45937_cov_11.600911,SRR5352534
NODE_121_length_112826_cov_13.557280,SRR5352534
NODE_16782_length_1093_cov_1.735067,SRR5352534
NODE_705_length_15007_cov_5.458868,SRR5352534
NODE_229_length_50354_cov_13.603054,SRR5352534
NODE_4705_length_2859_cov_4.357703,SRR5352534
NODE_33_length_298627_cov_14.009669,SRR5352534
NODE_419_length_25134_cov_6.442482,SRR5352534
NODE_744_length_14241_cov_3.851262,SRR5352534
NODE_1974_length_6119_cov_84.102737,SRR5352534
NODE_116_length_117571_cov_71.965196,SRR5352534
NODE_163_length_74904_cov_11.836070,SRR5352534
NODE_10139_length_1526_cov_2.889191,SRR5352534
NODE_1652_length_7129_cov_5.375318,SRR5352534
NODE_142_length_88438_cov_49.875598,SRR5352534
NODE_1397_length_8306_cov_10.004242,SRR5352534
NODE_26_length_365013_cov_13.398547,SRR5352534
NODE_42_length_246511_cov_13.942448,SRR5352534
NODE_5524_length_2496_cov_2.295780,SRR5352534
NODE_71_length_170029_cov_14.480456,SRR5352534
NODE_335_length_33979_cov_5.424773,SRR5352534
NODE_1905_length_6308_cov_3.839597,SRR5352534
NODE_8_length_578623_cov_14.922398,SRR5352534
NODE_4014_length_3292_cov_2.520853,SRR5352534
NODE_832_length_12815_cov_97.429702,SRR5352534
NODE_308_length_37218_cov_7.268843,SRR5352534
NODE_176_length_69150_cov_14.865432,SRR5352534
NODE_1_length_974470_cov_14.819744,SRR5352534
NODE_881_length_12166_cov_3.802411,SRR5352534
NODE_809_length_13111_cov_11.876762,SRR5352534
NODE_17828_length_1053_cov_1.840681,SRR5352534
NODE_16_length_477698_cov_14.809952,SRR5352534
NODE_2343_length_5350_cov_2.743720,SRR5352534
NODE_24_length_397644_cov_14.540068,SRR5352534
NODE_582_length_17927_cov_11.760743,SRR5352534
